Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
02-08-06,12.51,13.05,12.51,13.05,12.86532609,9200,25,118361,9200,100,0.54,0.54
01-08-06,13,13.2,12.7,12.97,12.88602296,7405,30,95421,7405,100,0.5,-0.03
31-07-06,12.5,13.5,12.5,13.2,13.2205303,9391,39,124154,9391,100,1,0.7
28-07-06,12.6,12.88,12.3,12.87,12.69310044,5725,29,72668,5725,100,0.58,0.27
27-07-06,13.2,13.2,12.5,12.52,12.91308333,24000,50,309914,24000,100,0.7,-0.68
26-07-06,12.5,13,12.1,12.88,12.52586744,14439,47,180861,14439,100,0.9,0.38
25-07-06,12.3,13,12.3,12.44,12.62048064,14023,58,176977,14023,100,0.7,0.14
24-07-06,12.8,13.1,12.66,12.75,12.78903444,9466,35,121061,9466,100,0.44,-0.05
21-07-06,13.19,13.5,12.8,13.2,13.12083832,8350,37,109559,8350,100,0.7,0.01
20-07-06,13.55,13.55,12.59,13.03,12.88939413,16274,60,209762,16274,100,0.96,-0.52
19-07-06,13.35,13.35,12.51,13,12.82877615,17445,70,223798,17445,100,0.84,-0.35
18-07-06,13.5,13.8,12.81,13.16,13.32356538,21260,65,283259,21260,100,0.99,-0.34
17-07-06,14.69,14.71,13.31,13.38,14.03765003,31660,97,444432,31660,100,1.4,-1.31
14-07-06,13.7,14.4,13.5,14.01,13.93056604,7950,29,110748,7950,100,0.9,0.31
13-07-06,14.64,14.64,13.75,13.8,14.06184861,13145,41,184843,13145,100,0.89,-0.84
12-07-06,13.96,13.97,13.6,13.97,13.82160684,14625,28,202141,14625,100,0.37,0.01
11-07-06,13.8,13.8,13.2,13.31,13.48785639,7576,27,102184,7576,100,0.6,-0.49
10-07-06,14.08,14.18,13.39,13.42,13.5355121,34974,89,473391,34974,100,0.79,-0.66
07-07-06,14.95,15,14.08,14.09,14.33764368,17400,57,249475,17400,100,0.92,-0.86
06-07-06,14.4,15.04,14.4,14.82,14.77480246,11390,38,168285,11390,100,0.64,0.42
05-07-06,15.15,15.15,14.7,14.95,14.92653414,11570,41,172700,11570,100,0.45,-0.2
04-07-06,14.4,15.3,14.4,15.2,14.84957702,14067,47,208889,14067,100,0.9,0.8
03-07-06,15.15,15.27,14.45,15.11,14.98954324,17405,64,260893,17405,100,0.82,-0.04
30-06-06,14.05,14.7,14.05,14.55,14.37366118,23995,73,344896,23995,100,0.65,0.5
29-06-06,14.5,14.5,13.65,14,13.87832459,28387,85,393964,21900,77.15,0.85,-0.5
28-06-06,14.1,14.1,13.8,13.9,13.95360281,8535,37,119094,7535,88.28,0.3,-0.2
27-06-06,14.05,14.15,13.85,14.05,13.93762821,15600,35,217427,15000,96.15,0.3,0
26-06-06,15.1,15.75,14.55,14.55,14.93906358,24583,78,367247,19983,81.29,1.2,-0.55
25-06-06,15.7,15.7,15.15,15.3,15.29452055,3650,13,55825,3550,97.26,0.55,-0.4
23-06-06,15.75,15.75,15,15.4,15.41175674,22149,89,341355,18507,83.56,0.75,-0.35
22-06-06,15.4,15.4,15,15.4,15.28731265,28690,95,438593,26465,92.24,0.4,0
21-06-06,13.9,14.7,13.85,14.7,14.53943023,17867,75,259776,14767,82.65,0.85,0.8
20-06-06,14,14.4,13.6,14,14.0011244,19566,65,273946,17115,87.47,0.8,0
19-06-06,14.25,14.25,13.5,14,13.92015821,23008,59,320275,18745,81.47,0.75,-0.25
16-06-06,13.7,13.7,13.3,13.7,13.61628211,49797,155,678050,44871,90.11,0.4,0
15-06-06,12.25,13.05,12,13.05,12.73914353,49809,141,634524,38598,77.49,1.05,0.8
14-06-06,12.75,13.1,12.45,12.45,12.57170823,60788,150,764209,54531,89.71,0.65,-0.3
13-06-06,13.5,13.75,13.1,13.1,13.15214038,25930,32,341035,25930,100,0.65,-0.4
12-06-06,14.4,15,13.6,13.75,13.98291293,68941,141,963996,50969,73.93,1.4,-0.65
09-06-06,14.3,14.3,14.3,14.3,14.29997491,35863,87,512840,35863,100,0,0
08-06-06,15.05,15.05,15.05,15.05,15.04997095,17210,29,259010,17210,100,0,0
07-06-06,16,16.3,15.8,15.8,15.89728261,12880,39,204757,12880,100,0.5,-0.2
06-06-06,16.8,17.35,16.6,16.6,16.6829128,36501,99,608943,36501,100,0.75,-0.2
05-06-06,17.4,18.45,16.8,17.45,17.32039075,72680,139,1258846,72680,100,1.65,0.05
02-06-06,17.5,17.8,17.5,17.6,17.5365122,44670,85,783356,44670,100,0.3,0.1
01-06-06,18.75,19.4,18.25,18.4,18.76453831,36507,136,685037,36507,100,1.15,-0.35
31-05-06,19,19.3,17.5,19.2,18.43231123,161888,365,2983970,161888,100,1.8,0.2
30-05-06,18.4,18.4,18.35,18.4,18.39911532,22833,43,420107,22833,100,0.05,0
29-05-06,17.55,17.55,17.55,17.55,17.54996201,15792,32,277149,15792,100,0,0
26-05-06,17.7,17.7,16.55,16.75,17.27800288,52075,138,899752,52075,100,1.15,-0.95
25-05-06,17.05,18.4,17,17.2,17.09300464,54965,174,939517,54965,100,1.4,0.15
24-05-06,19.65,19.65,17.85,17.85,18.33672314,90074,238,1651662,90074,100,1.8,-1.8
23-05-06,18.75,19,18.75,18.75,18.76090587,135340,153,2539101,135340,100,0.25,0
22-05-06,19.7,20,19.7,19.7,19.71875,8800,32,173525,8800,100,0.3,0
19-05-06,21.1,22.6,20.7,20.7,20.98543789,48482,156,1017416,48482,100,1.9,-0.4
18-05-06,23.05,23.5,21.75,21.75,21.94397145,149049,315,3270727,149049,100,1.75,-1.3
17-05-06,23.7,23.7,22,22.85,22.88269583,140157,464,3207170,140157,100,1.7,-0.85
16-05-06,23.15,23.15,20.95,22.6,22.38350635,295059,584,6604455,295059,100,2.2,-0.55
15-05-06,23.6,23.6,21.5,22.05,23.13785256,332210,932,7686626,332210,100,2.1,-1.55
12-05-06,22.5,22.6,20.5,22.5,21.87268232,623739,1336,13642845,623739,100,2.1,0
11-05-06,21.55,21.55,21.55,21.55,21.54999947,94071,204,2027230,94071,100,0,0
10-05-06,20.55,20.55,20.55,20.55,20.54999244,46277,125,950992,46277,100,0,0
09-05-06,19.6,19.6,19.6,19.6,19.6,63280,119,1240288,63280,100,0,0
08-05-06,17.95,18.7,17.95,18.7,18.67768529,151017,164,2820648,151017,100,0.75,0.75
05-05-06,17.75,17.9,16.8,17.85,17.32945543,142517,274,2469742,142517,100,1.1,0.1
04-05-06,16.85,17.9,16.8,17.15,17.2555523,163716,225,2825010,163716,100,1.1,0.3
03-05-06,17.6,17.75,16.75,17.15,17.11331646,64792,172,1108806,64792,100,1,-0.45
02-05-06,17.65,17.65,16.9,16.95,17.3344158,147810,255,2562200,147810,100,0.75,-0.7
29-04-06,16.9,17.5,16.5,16.81,16.89907256,23829,86,402688,23829,100,1,-0.09
28-04-06,16.99,17.67,16.22,16.73,16.85271556,68439,174,1153383,68439,100,1.45,-0.26
27-04-06,18,18,16.65,16.91,16.96897977,72082,164,1223158,72082,100,1.35,-1.09
26-04-06,17.63,17.64,16.6,17.27,17.31295297,80993,206,1402228,80993,100,1.04,-0.36
25-04-06,18.09,18.09,16.7,16.8,17.23679206,99902,229,1721990,99902,100,1.39,-1.29
24-04-06,16.9,17.97,16.8,17.43,17.72795746,201406,375,3570517,201406,100,1.17,0.53
21-04-06,17.79,17.79,16.9,17.12,17.5370295,191550,253,3359218,191550,100,0.89,-0.67
20-04-06,16.2,16.95,16,16.95,16.61200478,127999,178,2126320,127999,100,0.95,0.75
19-04-06,16,16.84,16,16.15,16.20567992,44895,122,727554,44895,100,0.84,0.15
18-04-06,17.25,17.25,16.01,16.27,16.34321038,83797,250,1369512,83797,100,1.24,-0.98
17-04-06,16.7,17.25,16.2,16.77,16.69671451,118156,185,1972817,118156,100,1.05,0.07
13-04-06,17,17.45,16.14,16.45,16.58934852,52312,153,867822,52312,100,1.31,-0.55
12-04-06,18,18.04,16.5,16.98,17.58717148,183856,401,3233507,183856,100,1.54,-1.02
10-04-06,17.19,17.19,16.8,17.19,17.11415275,124202,291,2125612,124202,100,0.39,0
07-04-06,16.3,16.38,15.6,16.38,16.04248122,95195,191,1527164,95195,100,0.78,0.08
05-04-06,15.7,16.09,15.5,15.6,15.78683852,88060,161,1390189,88060,100,0.59,-0.1
04-04-06,15.15,15.68,15,15.33,15.28995825,53656,143,820398,53656,100,0.68,0.18
03-04-06,15,15.45,14.6,15.34,15.23502304,62279,187,948822,62279,100,0.85,0.34
31-03-06,14.5,14.8,14.2,14.72,14.70041551,43320,63,636822,43320,100,0.6,0.22
30-03-06,15.35,15.35,14.18,14.21,14.71735037,29740,108,437694,29740,100,1.17,-1.14
29-03-06,15.42,15.42,14.32,14.92,15.01894549,39165,94,588217,39165,100,1.1,-0.5
28-03-06,15.5,15.8,14.74,14.81,15.16575721,70555,187,1070020,70555,100,1.06,-0.69
27-03-06,16.4,16.4,14.86,15.51,15.99215801,555089,557,8877071,555089,100,1.54,-0.89
24-03-06,15.62,15.62,15.62,15.62,15.6199859,61003,95,952866,61003,100,0,0
23-03-06,14.88,14.88,14.88,14.88,14.87999593,29474,51,438573,29474,100,0,0
22-03-06,14.18,14.18,14.18,14.18,14.17997,19331,42,274113,19331,100,0,0
21-03-06,13.51,13.51,13.51,13.51,13.50996907,21015,44,283912,21015,100,0,0
20-03-06,12.87,12.87,12.87,12.87,12.86996255,13350,22,171814,13350,100,0,0
17-03-06,12.2,12.5,12.16,12.26,12.34468696,30651,82,378377,30651,100,0.34,0.06
16-03-06,13.58,13.58,12.41,12.53,12.54683958,29996,92,376355,29996,100,1.17,-1.05
14-03-06,13.34,13.34,12.4,12.95,12.6715626,48816,82,618575,48816,100,0.94,-0.39
13-03-06,12.65,13.39,12.65,12.8,12.86632787,30500,63,392423,30500,100,0.74,0.15
10-03-06,13.25,13.25,12.71,12.93,12.93900865,41842,80,541394,41842,100,0.54,-0.32
09-03-06,13.49,13.5,12.9,13.16,12.98669328,22545,62,292785,22545,100,0.6,-0.33
08-03-06,13.5,13.9,13.15,13.2,13.29565021,44255,74,588399,44255,100,0.75,-0.3
07-03-06,13.55,14,13.1,13.75,13.2621159,37327,73,495035,37327,100,0.9,0.2
06-03-06,14.15,14.15,13.4,13.46,13.7915204,62385,99,860384,62385,100,0.75,-0.69
03-03-06,13.74,13.94,12.76,13.58,13.78235608,50601,104,697401,50601,100,1.18,-0.16
02-03-06,12.35,13.55,12.35,13.28,13.03134677,41982,99,547082,41982,100,1.2,0.93
01-03-06,12.55,13.4,12.55,12.91,12.99802127,20215,58,262755,20215,100,0.85,0.36
28-02-06,12.87,13,12.7,12.94,12.83457834,21285,62,273184,21285,100,0.3,0.07
27-02-06,12.6,12.83,12.5,12.67,12.65044668,30559,61,386585,30559,100,0.33,0.07
24-02-06,12.45,12.79,12.45,12.6,12.58778589,41100,69,517358,41100,100,0.34,0.15
23-02-06,12.3,12.8,12.15,12.5,12.41350558,55888,103,693766,55888,100,0.65,0.2
22-02-06,12.3,12.94,12.3,12.71,12.6765519,39790,71,504400,39790,100,0.64,0.41
21-02-06,12.55,13,12.55,12.61,12.74943913,42345,90,539875,42345,100,0.45,0.06
20-02-06,12.68,13.19,12.68,13.01,12.80729209,24410,85,312626,24410,100,0.51,0.33
17-02-06,13.01,13.5,12.9,13.02,13.04377948,71883,160,937626,71883,100,0.6,0.01
16-02-06,13.51,13.9,13.3,13.45,13.54217484,23450,59,317564,23450,100,0.6,-0.06
15-02-06,13.99,14.09,13.5,13.62,13.7392219,34700,56,476751,34700,100,0.59,-0.37
14-02-06,14.1,14.22,13.41,13.88,13.7726058,34051,70,468971,34051,100,0.81,-0.22
13-02-06,13.36,14.15,13.36,14.01,13.91016432,42600,77,592573,42600,100,0.79,0.65
10-02-06,13.01,14.2,13.01,13.73,13.74314457,50398,93,692627,50398,100,1.19,0.72
08-02-06,13,13.71,13,13.69,13.59843818,59418,102,807992,59418,100,0.71,0.69
07-02-06,13.33,13.94,12.9,13.06,13.21558991,68570,149,906193,68570,100,1.04,-0.27
06-02-06,13.75,13.9,13.42,13.55,13.64669158,69036,107,942113,69036,100,0.48,-0.2
03-02-06,14,14.4,13.92,14.04,14.02720894,24514,87,343863,24514,100,0.48,0.04
02-02-06,14.2,14.6,13.9,14.11,14.31087221,24650,74,352763,24650,100,0.7,-0.09
01-02-06,15,15.39,14.15,14.16,14.69265279,28977,69,425749,28977,100,1.24,-0.84
31-01-06,15,15.51,14.75,14.89,15.08101717,61740,132,931102,61740,100,0.76,-0.11
30-01-06,15.25,15.35,14.75,14.78,14.88382104,41350,119,615446,41350,100,0.6,-0.47
27-01-06,15.25,16.71,15.25,15.48,15.86865524,111135,164,1763563,111135,100,1.46,0.23
25-01-06,15.85,16.72,15.55,15.92,16.12518952,158951,216,2563115,158951,100,1.17,0.07
24-01-06,16.5,17,15.75,15.93,16.32620649,62019,143,1012535,62019,100,1.25,-0.57
23-01-06,17.2,17.2,16,16.35,16.51367176,69340,127,1145058,69340,100,1.2,-0.85
20-01-06,17.6,17.73,16.51,16.71,16.81315732,54768,150,920823,54768,100,1.22,-0.89
19-01-06,16.6,17.34,16.5,16.89,16.93883627,125630,281,2128026,125630,100,0.84,0.29
18-01-06,16.5,16.75,15.42,16.52,16.11063973,104185,234,1678487,104185,100,1.33,0.02
17-01-06,17.78,17.78,16.21,16.23,16.78839906,168969,350,2836719,168969,100,1.57,-1.55
16-01-06,16.95,17.06,16.55,17.06,17.03646763,153506,226,2615200,153506,100,0.51,0.11
13-01-06,16.15,16.25,16,16.25,16.24254209,99257,109,1612186,99257,100,0.25,0.1
12-01-06,15,15.48,15,15.48,15.45163538,117710,185,1818812,117710,100,0.48,0.48
10-01-06,13.5,14.75,13.5,14.75,14.51271765,98957,138,1436135,98957,100,1.25,1.25
09-01-06,14.01,14.3,13.99,14.05,14.1207494,51081,90,721302,51081,100,0.31,0.04
06-01-06,14.6,14.7,13.91,14.04,14.08173636,73994,120,1041964,73994,100,0.79,-0.56
05-01-06,14.25,14.25,13.93,14.08,14.03183413,31350,53,439898,31350,100,0.32,-0.17
04-01-06,15,15,13.91,14.23,14.54162788,63383,163,921692,63383,100,1.09,-0.77
03-01-06,14.2,14.45,13.8,14.34,14.20474551,77252,120,1097345,77252,100,0.65,0.14
02-01-06,14.4,14.4,14,14.3,14.24442698,38175,88,543781,38175,100,0.4,-0.1
30-12-05,13.7,14.25,13.7,14.02,14.04614212,26245,77,368641,26245,100,0.55,0.32
29-12-05,14.04,14.49,13.55,13.75,13.88089998,24534,61,340554,24534,100,0.94,-0.29
28-12-05,14.26,14.6,14,14.13,14.39764019,42800,77,616219,42800,100,0.6,-0.13
27-12-05,13.8,14.26,13.51,14.26,14.05795513,79389,142,1116047,79389,100,0.75,0.46
26-12-05,13.77,14.1,13.44,13.59,13.61050814,59059,106,803823,59059,100,0.66,-0.18
23-12-05,14.61,14.61,14.02,14.14,14.46227752,108662,142,1571500,108662,100,0.59,-0.47
22-12-05,13.25,13.92,13.05,13.92,13.56407102,69899,129,948115,69899,100,0.87,0.67
21-12-05,13.5,13.55,13.11,13.26,13.38573948,51597,103,690664,51597,100,0.44,-0.24
20-12-05,13.5,13.78,13.25,13.52,13.53372652,28316,84,383221,28316,100,0.53,0.02
19-12-05,13.35,13.8,13.32,13.49,13.4528153,32945,86,443203,32945,100,0.48,0.14
16-12-05,13.4,13.81,13.32,13.45,13.53440644,14910,55,201798,14910,100,0.49,0.05
15-12-05,14.25,14.32,13.5,13.52,13.90652045,50610,79,703809,50610,100,0.82,-0.73
14-12-05,13.9,14.55,13.8,14,14.142873,81100,123,1146987,81100,100,0.75,0.1
13-12-05,14.65,14.65,13.8,13.97,14.09057711,52850,113,744687,52850,100,0.85,-0.68
12-12-05,14.2,14.68,14.01,14.12,14.37638345,47526,127,683252,47526,100,0.67,-0.08
09-12-05,14.64,14.64,14,14,14.23387894,63721,96,906997,63721,100,0.64,-0.64
08-12-05,14,14.48,13.9,13.95,14.05286208,64848,100,911300,64848,100,0.58,-0.05
07-12-05,14.5,14.5,13.95,13.98,14.10948253,63791,112,900058,63791,100,0.55,-0.52
06-12-05,14.37,14.89,14.25,14.29,14.40378744,27512,77,396277,27512,100,0.64,-0.08
05-12-05,14.55,15.05,14,14.5,14.66709317,118015,180,1730937,118015,100,1.05,-0.05
02-12-05,14.65,14.8,14.5,14.54,14.64206043,52358,107,766629,52358,100,0.3,-0.11
01-12-05,14.3,14.92,14.25,14.51,14.66027107,84850,154,1243924,84850,100,0.67,0.21
30-11-05,14,14.7,14,14.21,14.21858641,136390,182,1939273,136390,100,0.7,0.21
29-11-05,14.09,14.2,13.79,14,13.98798182,29705,78,415513,29705,100,0.41,-0.09
28-11-05,13.9,14.15,13.8,14.01,13.97559554,37739,94,527425,37739,100,0.35,0.11
26-11-05,14.25,14.25,13.4,13.89,13.7846783,15651,59,215744,15651,100,0.85,-0.36
25-11-05,13.65,14,13.59,13.75,13.81846475,43055,116,594954,43055,100,0.41,0.1
24-11-05,13.46,13.83,13.45,13.54,13.5320197,16849,41,228001,16849,100,0.38,0.08
23-11-05,13.16,14,13.16,13.46,13.6687659,16514,65,225726,16514,100,0.84,0.3
22-11-05,14.8,14.8,13.45,13.48,13.69365629,30345,97,415534,30345,100,1.35,-1.32
21-11-05,13.74,14.6,13.74,14.15,14.29506441,29885,105,427208,29885,100,0.86,0.41
18-11-05,14.8,14.9,13.95,14.46,14.43576946,58905,163,850339,58905,100,0.95,-0.34
17-11-05,15.31,15.31,14.35,14.67,14.67086849,48947,113,718095,48947,100,0.96,-0.64
16-11-05,14.35,14.59,14,14.59,14.28265155,45151,107,644876,45151,100,0.59,0.24
14-11-05,14.32,14.32,13.65,13.9,14.1410751,87620,106,1239041,87620,100,0.67,-0.42
11-11-05,14.2,14.5,13.5,13.9,14.05476699,40298,126,566379,40298,100,1,-0.3
10-11-05,14.1,14.25,13.6,14.1,13.99466361,30545,63,427467,30545,100,0.65,0
09-11-05,13.95,14,13.5,13.84,13.69826564,22775,83,311978,22775,100,0.5,-0.11
08-11-05,13.47,13.51,13.05,13.49,13.48803654,27584,82,372054,27584,100,0.46,0.02
07-11-05,13.5,13.7,12.51,12.87,13.14507817,57052,107,749953,57052,100,1.19,-0.63
02-11-05,13.9,13.9,13.12,13.16,13.18826944,19982,39,263528,19982,100,0.78,-0.74
01-11-05,13.95,14.05,13.6,13.81,13.82885631,17050,84,235782,17050,100,0.45,-0.14
31-10-05,12.5,13.65,12.5,13.55,13.35012113,29307,78,391252,29307,100,1.15,1.05
28-10-05,13.6,13.9,13.05,13.05,13.31005045,33501,102,445900,33501,100,0.85,-0.55
27-10-05,14.15,14.15,12.9,13.7,13.9406785,79381,197,1106625,79381,100,1.25,-0.45
26-10-05,13.5,13.5,13.5,13.5,13.49991446,5845,17,78907,5845,100,0,0
25-10-05,12.75,12.9,12.75,12.9,12.88785794,6251,12,80562,6251,100,0.15,0.15
24-10-05,12.1,12.3,12.1,12.3,12.29793704,33544,33,412522,33544,100,0.2,0.2
21-10-05,12,12.45,11.7,11.75,11.74185555,117841,112,1383672,117841,100,0.75,-0.25
20-10-05,12.75,12.75,12.3,12.3,12.33359084,22006,80,271413,22006,100,0.45,-0.45
19-10-05,12.85,13.4,12.85,12.9,13.00765685,80712,167,1049874,80712,100,0.55,0.05
18-10-05,14.1,14.1,13.5,13.5,13.70604694,49678,149,680889,49678,100,0.6,-0.6
17-10-05,15,15.2,14.2,14.2,14.42312607,36781,114,530497,36781,100,1,-0.8
14-10-05,15.35,15.35,14.9,14.9,14.99347744,42468,134,636743,42468,100,0.45,-0.45
13-10-05,15.35,16,15.25,15.65,15.67787866,29849,96,467969,29849,100,0.75,0.3
11-10-05,15.6,16,15.3,15.45,15.62545061,59087,132,923261,59087,100,0.7,-0.15
10-10-05,15.8,16.25,15.5,15.95,15.86473574,40395,107,640856,40395,100,0.75,0.15
07-10-05,16.75,16.75,15.6,16.15,15.9786889,53024,185,847254,53024,100,1.15,-0.6
06-10-05,16.8,16.95,16.2,16.2,16.35686022,57367,216,938344,57367,100,0.75,-0.6
05-10-05,17.5,18.3,16.75,17.05,17.24578406,65110,221,1122873,65110,100,1.55,-0.45
04-10-05,17.75,17.9,17.1,17.5,17.71867018,98660,266,1748124,98660,100,0.8,-0.25
03-10-05,15.5,17.05,15.45,17.05,16.26807736,141254,305,2297931,141254,100,1.6,1.55
30-09-05,16.25,17,16.25,16.25,16.25199082,76225,182,1238808,76225,100,0.75,0
29-09-05,17.2,18,17.1,17.1,17.22088718,92631,287,1595188,92631,100,0.9,-0.1
28-09-05,19,19.45,17.85,17.95,18.06486609,79271,243,1432020,79271,100,1.6,-1.05
27-09-05,18.9,19.15,17.55,18.75,18.79467026,204325,540,3840221,204325,100,1.6,-0.15
26-09-05,16.55,18.25,16.55,18.25,17.12293924,230073,379,3939526,230073,100,1.7,1.7
23-09-05,17.4,17.4,17.4,17.4,17.39998644,29491,69,513143,29491,100,0,0
22-09-05,18.3,18.3,18.3,18.3,18.29999262,67745,107,1239733,67745,100,0,0
21-09-05,20.3,20.3,19.25,19.25,19.34205929,138514,340,2679146,138514,100,1.05,-1.05
20-09-05,21.1,21.45,20,20.25,20.6089945,366624,863,7555752,366624,100,1.45,-0.85
19-09-05,22.5,22.6,20.2,21.35,21.64731833,321647,942,6962795,321647,100,2.4,-1.15
16-09-05,22.9,23.4,21.75,22.2,22.48218734,380993,1107,8565556,380993,100,1.65,-0.7
15-09-05,22.2,23.2,22.2,22.7,22.76916812,841058,2255,19150191,535912,63.72,1,0.5
14-09-05,22.4,23.6,21.05,21.65,22.47805198,1082512,3215,24332761,619745,57.25,2.55,-0.75
13-09-05,22.95,24.25,21.2,22.2,22.85266667,2544767,6211,58154712,1435453,56.41,3.05,-0.75
12-09-05,19.4,22.7,19,22.7,21.81892332,3627999,6389,79159032,1441789,39.74,3.7,3.3
09-09-05,18.9,19.65,18.5,18.95,19.21741535,1410112,3676,27098708,980109,69.51,1.15,0.05
08-09-05,16.8,19.5,16.7,18.9,18.61438592,1910104,4128,35555413,997113,52.2,2.8,2.1
06-09-05,16.75,16.8,16.25,16.45,16.52535163,179594,472,2967854,134422,74.85,0.55,-0.3
05-09-05,16.9,17.9,16.05,16.3,16.84653748,383579,819,6461978,283360,73.87,1.85,-0.6
02-09-05,17.7,17.75,15.5,16.65,16.64669043,670964,974,11169330,440323,65.63,2.25,-1.05
01-09-05,17.75,18.8,16.85,17.3,17.85849726,589084,1261,10520155,455850,77.38,1.95,-0.45
31-08-05,18.4,19.45,17.8,17.94,18.53893861,1599813,2904,29658835,1055243,65.96,1.65,-0.46
30-08-05,15.74,18.4,15.2,17.79,17.07807547,1665504,1941,28443603,993024,59.62,3.2,2.05
29-08-05,15.25,15.69,15.15,15.45,15.39198589,119040,291,1832262,90600,76.11,0.54,0.2
26-08-05,14.55,15.95,13.45,15.61,15.38792331,242169,391,3726478,173685,71.72,2.5,1.06
25-08-05,14.55,15,14.55,14.9,14.79205694,59574,157,881222,43699,73.35,0.45,0.35
24-08-05,15.39,15.39,14.32,14.56,14.62319434,90410,213,1322083,66300,73.33,1.07,-0.83
23-08-05,15.65,15.95,14.85,14.93,15.22549184,155540,282,2368173,133793,86.02,1.1,-0.72
22-08-05,15,16.25,15,15.47,15.55883423,313304,554,4874645,223397,71.3,1.25,0.47
19-08-05,15.7,15.7,15,15.2,15.22225768,103425,257,1574362,85603,82.77,0.7,-0.5
18-08-05,15.49,15.8,15.15,15.25,15.39817677,260417,438,4009947,230529,88.52,0.65,-0.24
17-08-05,14.27,15.4,14.27,15.19,15.02935653,190622,357,2864926,126671,66.45,1.13,0.92
16-08-05,14.9,14.9,14.15,14.71,14.42060752,114104,234,1645449,84950,74.45,0.75,-0.19
12-08-05,14.6,14.93,14.2,14.35,14.387487,114409,216,1646058,89134,77.91,0.73,-0.25
11-08-05,14.1,14.54,14.1,14.35,14.30808835,111877,211,1600746,91101,81.43,0.44,0.25
10-08-05,14.1,14.48,14.1,14.24,14.27990524,59095,130,843871,50618,85.66,0.38,0.14
09-08-05,14.5,14.5,14.1,14.14,14.26195691,50222,141,716264,38446,76.55,0.4,-0.36
08-08-05,14.5,15.25,14.25,14.4,14.53406413,68327,194,993069,53808,78.75,1,-0.1
05-08-05,14.06,14.25,14,14.16,14.14675665,56454,165,798641,47130,83.48,0.25,0.1
04-08-05,14.2,14.49,14.11,14.23,14.33479128,57158,146,819348,51531,90.16,0.38,0.03
03-08-05,14.28,14.8,14.1,14.3,14.33651608,54984,139,788279,49256,89.58,0.7,0.02
02-08-05,14.76,14.8,14.32,14.42,14.57258402,55019,151,801769,42215,76.73,0.48,-0.34
01-08-05,14.5,15,14.26,14.43,14.51831953,38156,97,553961,30747,80.58,0.74,-0.07
29-07-05,14.05,14.7,13.51,14.4,14.45636935,79600,165,1150727,68160,85.63,1.19,0.35
27-07-05,15.4,15.4,14.41,14.46,14.73676156,49005,128,722175,42280,86.28,0.99,-0.94
26-07-05,15.95,15.95,14.8,14.98,15.2148984,91634,256,1394202,74106,80.87,1.15,-0.97
25-07-05,16,16.1,15.25,15.46,15.7858993,184927,431,2919239,142060,76.82,0.85,-0.54
22-07-05,15.95,16.2,15.6,15.74,15.85582122,183106,449,2903296,137341,75.01,0.6,-0.21
21-07-05,15.94,16.5,15.4,15.52,15.96208263,345620,794,5516815,261699,75.72,1.1,-0.42
20-07-05,15.45,16.19,15.35,15.7,15.83778679,324018,642,5131728,255408,78.83,0.84,0.25
19-07-05,15.7,15.74,15.16,15.34,15.45060021,178604,424,2759539,149953,83.96,0.58,-0.36
18-07-05,14.61,16.24,14.6,15.45,15.64861636,498034,894,7793543,412478,82.82,1.64,0.84
15-07-05,14.49,14.6,14.2,14.45,14.35558603,111582,208,1601825,91902,82.36,0.4,-0.04
14-07-05,14.84,14.9,14.36,14.44,14.54970966,320833,383,4668027,248321,77.4,0.54,-0.4
13-07-05,14.13,14.75,14.01,14.42,14.34008807,150561,262,2159058,107152,71.17,0.74,0.29
12-07-05,14.11,14.64,14.11,14.3,14.28706473,99650,181,1423706,82099,82.39,0.53,0.19
11-07-05,14.4,14.7,14,14.27,14.2016965,121073,219,1719442,103773,85.71,0.7,-0.13
08-07-05,14.8,14.8,13.9,14.35,14.13968634,64337,144,909705,63685,98.99,0.9,-0.45
07-07-05,14,14.2,13.8,13.81,13.98216266,54100,113,756435,54100,100,0.4,-0.19
06-07-05,14,14.13,13.8,13.99,13.95989691,38800,86,541644,38800,100,0.33,-0.01
05-07-05,14.31,14.31,13.77,13.77,13.99505692,42079,76,588898,42079,100,0.54,-0.54
04-07-05,13.9,14.49,13.65,14.32,14.01702812,67183,152,941706,67183,100,0.84,0.42
01-07-05,13.79,13.79,13.36,13.47,13.53422642,26500,70,358657,26500,100,0.43,-0.32
30-06-05,13.99,13.99,13.27,13.41,13.49835181,45201,102,610139,45201,100,0.72,-0.58
29-06-05,13.22,13.8,13.22,13.59,13.56790535,32965,76,447266,32965,100,0.58,0.37
28-06-05,13.5,14,13.4,13.78,13.77191975,59216,102,815518,59216,100,0.6,0.28
27-06-05,14,14.36,13.8,13.85,13.99973104,81795,139,1145108,81795,100,0.56,-0.15
24-06-05,14.5,14.5,13.9,14.04,14.04815615,74030,116,1039985,74030,100,0.6,-0.46
23-06-05,14.5,14.7,13.91,14.08,14.04486844,40095,89,563129,40095,100,0.79,-0.42
22-06-05,14.01,14.65,14.01,14.08,14.21651009,62907,111,894318,62907,100,0.64,0.07
21-06-05,14.1,14.49,14,14.02,14.07225241,28525,77,401411,28525,100,0.49,-0.08
20-06-05,13.8,14.45,13.8,14.09,14.1395196,82139,144,1161406,82139,100,0.65,0.29
